Clube,Pos,Nome,Status,Jogos,Média,M. Básica,Escanteios/Jogo,XA/Jogo,XG/Jogo,Assistências,Gols,G + A
PAL,ATA,Luighi,0,5,1.34,2.0,0.0,0.1,0.16,0,0,0
VAS,MEI,Sforza,0,5,1.16,1.92,0.0,0.04,0.07,0,0,0
Clube 356,ZAG,Gastón Ávila,0,21,4.24,4.67,0.0,0.1,0.18,0,0,0
VIT,TEC,Jair Ventura,0,13,5.0,5.77,0.0,0.0,0.0,0,0,0
VAS,TEC,Fernando Diniz,0,29,4.66,4.98,0.0,0.0,0.0,0,0,0
SAO,LAT,Maílton,0,7,3.19,3.69,0.0,0.14,0.22,0,0,0
MIR,MEI,Matheus Bianqui,0,8,1.31,2.24,0.0,0.01,0.05,0,0,0
RBB,TEC,Vagner Mancini,0,5,2.67,4.27,0.0,0.0,0.0,0,0,0
RBB,ATA,Fernando,0,6,0.76,1.73,0.0,0.05,0.11,0,0,0
SAN,LAT,Kevyson,0,6,0.99,1.5,0.0,0.03,0.06,0,0,0
BOT,TEC,Davide Ancelotti,0,24,5.34,5.79,0.0,0.0,0.0,0,0,0
Clube 292,MEI,Lucas Kal,0,5,0.13,1.02,0.0,0.04,0.07,0,0,0
SAN,ATA,Robinho Jr.,0,11,1.29,1.67,0.0,0.05,0.08,0,0,0
VIT,ZAG,Camutanga,0,12,3.46,3.88,0.0,0.05,0.1,0,0,0
SAO,MEI,Oscar,0,5,1.67,2.0,0.0,0.08,0.12,0,0,0
Clube 286,TEC,Cláudio Tencati,0,8,2.82,3.52,0.0,0.0,0.0,0,0,0
BAH,MEI,Rezende,0,5,1.33,2.84,0.0,0.16,0.24,0,0,0
Clube 356,TEC,Martín Palermo,0,14,4.68,5.35,0.0,0.0,0.0,0,0,0
SAO,ATA,Lucca,0,7,1.25,1.47,0.0,0.16,0.24,0,0,0
RBB,ZAG,Alix Vinicius,0,5,1.7,2.78,0.0,0.08,0.14,0,0,0
INT,LAT,Alan Benítez,0,6,1.96,3.27,0.0,0.0,0.0,0,0,0
PAL,LAT,Marcos Rocha,0,11,6.56,6.56,0.0,0.12,0.18,0,0,0
SAN,ZAG,Alexis Duarte,0,5,2.96,2.96,0.0,0.08,0.12,0,0,0
