atleta_id,rodada_real,apelido,posicao,rodada_x,preco_num,rodada_y,media_acumulada,media_previa,perfil
73384,3,Samuel Xavier,Lateral,3,4.48,3,2.2399999999999998,2.2399999999999998,Inesperado
73384,3,Samuel Xavier,Lateral,3,4.48,3,2.036363636363636,2.036363636363636,Inesperado
73384,3,Samuel Xavier,Lateral,3,4.48,3,2.2583333333333333,2.2583333333333333,Inesperado
73384,3,Samuel Xavier,Lateral,3,4.48,3,2.1538461538461537,2.1538461538461537,Inesperado
73384,3,Samuel Xavier,Lateral,3,4.48,3,2.0,2.0,Inesperado
73384,3,Samuel Xavier,Lateral,3,4.48,3,1.8666666666666667,1.8666666666666667,Inesperado
73384,3,Samuel Xavier,Lateral,3,7.0,3,2.2399999999999998,2.2399999999999998,Inesperado
73384,3,Samuel Xavier,Lateral,3,7.0,3,2.036363636363636,2.036363636363636,Inesperado
73384,3,Samuel Xavier,Lateral,3,7.0,3,2.2583333333333333,2.2583333333333333,Inesperado
73384,3,Samuel Xavier,Lateral,3,7.0,3,2.1538461538461537,2.1538461538461537,Inesperado
73384,3,Samuel Xavier,Lateral,3,7.0,3,2.0,2.0,Inesperado
73384,3,Samuel Xavier,Lateral,3,7.0,3,1.8666666666666667,1.8666666666666667,Inesperado
73384,3,Samuel Xavier,Lateral,3,13.22,3,2.2399999999999998,2.2399999999999998,Inesperado
73384,3,Samuel Xavier,Lateral,3,13.22,3,2.036363636363636,2.036363636363636,Inesperado
73384,3,Samuel Xavier,Lateral,3,13.22,3,2.2583333333333333,2.2583333333333333,Inesperado
73384,3,Samuel Xavier,Lateral,3,13.22,3,2.1538461538461537,2.1538461538461537,Inesperado
73384,3,Samuel Xavier,Lateral,3,13.22,3,2.0,2.0,Inesperado
73384,3,Samuel Xavier,Lateral,3,13.22,3,1.8666666666666667,1.8666666666666667,Inesperado
73384,3,Samuel Xavier,Lateral,3,0.0,3,2.2399999999999998,2.2399999999999998,Inesperado
73384,3,Samuel Xavier,Lateral,3,0.0,3,2.036363636363636,2.036363636363636,Inesperado
73384,3,Samuel Xavier,Lateral,3,0.0,3,2.2583333333333333,2.2583333333333333,Inesperado
73384,3,Samuel Xavier,Lateral,3,0.0,3,2.1538461538461537,2.1538461538461537,Inesperado
73384,3,Samuel Xavier,Lateral,3,0.0,3,2.0,2.0,Inesperado
73384,3,Samuel Xavier,Lateral,3,0.0,3,1.8666666666666667,1.8666666666666667,Inesperado
93716,3,Paulo Henrique,Lateral,3,5.0,3,3.525,3.525,Inesperado
93716,3,Paulo Henrique,Lateral,3,5.0,3,2.82,2.82,Inesperado
93716,3,Paulo Henrique,Lateral,3,5.0,3,2.35,2.35,Inesperado
93716,3,Paulo Henrique,Lateral,3,4.0,3,3.525,3.525,Inesperado
93716,3,Paulo Henrique,Lateral,3,4.0,3,2.82,2.82,Inesperado
93716,3,Paulo Henrique,Lateral,3,4.0,3,2.35,2.35,Inesperado
93716,3,Paulo Henrique,Lateral,3,0.0,3,3.525,3.525,Inesperado
93716,3,Paulo Henrique,Lateral,3,0.0,3,2.82,2.82,Inesperado
93716,3,Paulo Henrique,Lateral,3,0.0,3,2.35,2.35,Inesperado
52827,3,David Luiz,Zagueiro,3,6.19,3,1.2,1.2,Inesperado
52827,3,David Luiz,Zagueiro,3,6.19,3,1.0,1.0,Inesperado
52827,3,David Luiz,Zagueiro,3,6.19,3,1.0857142857142859,1.0857142857142859,Inesperado
52827,3,David Luiz,Zagueiro,3,5.99,3,1.2,1.2,Inesperado
52827,3,David Luiz,Zagueiro,3,5.99,3,1.0,1.0,Inesperado
52827,3,David Luiz,Zagueiro,3,5.99,3,1.0857142857142859,1.0857142857142859,Inesperado
52827,3,David Luiz,Zagueiro,3,0.0,3,1.2,1.2,Inesperado
52827,3,David Luiz,Zagueiro,3,0.0,3,1.0,1.0,Inesperado
52827,3,David Luiz,Zagueiro,3,0.0,3,1.0857142857142859,1.0857142857142859,Inesperado
87225,3,Pedro Henrique,Zagueiro,3,6.0,3,2.0272727272727273,2.0272727272727273,Inesperado
87225,3,Pedro Henrique,Zagueiro,3,6.0,3,1.8583333333333334,1.8583333333333334,Inesperado
87225,3,Pedro Henrique,Zagueiro,3,6.0,3,2.0615384615384618,2.0615384615384618,Inesperado
87225,3,Pedro Henrique,Zagueiro,3,6.0,3,1.9142857142857144,1.9142857142857144,Inesperado
87225,3,Pedro Henrique,Zagueiro,3,6.0,3,2.246666666666667,2.246666666666667,Inesperado
87225,3,Pedro Henrique,Zagueiro,3,6.0,3,2.10625,2.10625,Inesperado
87225,3,Pedro Henrique,Zagueiro,3,8.82,3,2.0272727272727273,2.0272727272727273,Inesperado
87225,3,Pedro Henrique,Zagueiro,3,8.82,3,1.8583333333333334,1.8583333333333334,Inesperado
87225,3,Pedro Henrique,Zagueiro,3,8.82,3,2.0615384615384618,2.0615384615384618,Inesperado
87225,3,Pedro Henrique,Zagueiro,3,8.82,3,1.9142857142857144,1.9142857142857144,Inesperado
87225,3,Pedro Henrique,Zagueiro,3,8.82,3,2.246666666666667,2.246666666666667,Inesperado
87225,3,Pedro Henrique,Zagueiro,3,8.82,3,2.10625,2.10625,Inesperado
87225,3,Pedro Henrique,Zagueiro,3,5.0,3,2.0272727272727273,2.0272727272727273,Inesperado
87225,3,Pedro Henrique,Zagueiro,3,5.0,3,1.8583333333333334,1.8583333333333334,Inesperado
87225,3,Pedro Henrique,Zagueiro,3,5.0,3,2.0615384615384618,2.0615384615384618,Inesperado
87225,3,Pedro Henrique,Zagueiro,3,5.0,3,1.9142857142857144,1.9142857142857144,Inesperado
87225,3,Pedro Henrique,Zagueiro,3,5.0,3,2.246666666666667,2.246666666666667,Inesperado
87225,3,Pedro Henrique,Zagueiro,3,5.0,3,2.10625,2.10625,Inesperado
87225,3,Pedro Henrique,Zagueiro,3,5.9,3,2.0272727272727273,2.0272727272727273,Inesperado
87225,3,Pedro Henrique,Zagueiro,3,5.9,3,1.8583333333333334,1.8583333333333334,Inesperado
87225,3,Pedro Henrique,Zagueiro,3,5.9,3,2.0615384615384618,2.0615384615384618,Inesperado
87225,3,Pedro Henrique,Zagueiro,3,5.9,3,1.9142857142857144,1.9142857142857144,Inesperado
