ano,rodada,mandante_id,visitante_id,placar_mandante,placar_visitante
2023,32,284,265,1,0
2023,32,283,285,1,2
2023,32,356,262,0,2
2023,32,280,264,1,0
2023,32,267,263,1,0
2023,33,285,266,0,0
2023,33,276,280,1,0
2023,33,262,275,3,0
2023,33,264,282,1,1
2023,33,263,284,3,4
2023,34,264,283,1,0
2023,34,262,266,1,1
2023,34,275,285,3,0
2023,34,280,263,2,2
2023,34,284,264,0,1
2023,34,277,276,0,0
2023,30,356,283,0,1
2023,32,266,276,1,0
2023,33,283,267,2,2
2023,29,356,263,2,2
2023,30,262,280,1,0
2023,35,264,265,1,5
2023,35,266,264,2,1
2023,35,282,284,3,0
2023,35,263,277,1,1
2023,35,285,280,1,0
2023,35,356,275,2,2
2023,36,267,264,2,4
2023,36,277,266,0,3
2023,36,262,282,0,3
2023,36,265,276,0,1
2023,36,264,263,1,1
2023,36,280,356,1,2
2023,37,264,285,1,2
2023,37,282,276,2,1
2023,37,275,266,1,0
2023,37,263,283,0,0
2023,37,280,264,1,0
2023,37,284,267,1,0
2023,38,285,263,3,1
2023,38,264,264,0,2
2023,38,266,284,2,3
2023,38,283,275,1,1
2023,38,265,282,4,1
2023,38,277,356,1,2
2023,38,276,262,1,0
2023,38,267,280,2,1
2024,1,285,265,2,1
2024,1,266,280,2,2
2024,1,276,356,1,2
2024,1,267,284,2,1
2024,1,264,282,0,0
2024,1,283,263,3,2
2024,1,287,275,0,1
2024,2,265,266,2,1
2024,2,280,267,2,1
2024,2,356,283,1,1
2024,2,286,264,2,0
2024,2,275,285,0,1
2024,2,262,276,2,1
2024,3,266,267,2,1
2024,3,280,264,1,0
2024,3,282,283,3,0
2024,3,275,262,0,0
2024,3,287,265,2,2
2024,3,263,286,5,1
2024,4,265,284,1,0
2024,4,262,263,0,2
2024,4,283,287,3,1
2024,4,264,266,3,0
2024,4,356,280,1,1
2024,4,276,275,0,0
2024,5,266,282,2,2
2024,5,280,262,1,1
2024,5,264,356,0,0
2024,5,287,276,1,3
